ablation,size,decision_accuracy,safety_score,clinical_correctness,completeness,coherence,format_compliance,reasoning_mean,composite_5
e1_mlp,1.5B,4.25,3.6,2.62,3.48,4.27,4.97,3.457,3.644
e1_mlp,3B,4.3,3.95,2.97,3.73,4.44,4.97,3.713,3.878
e1_orig,1.5B,4.192,2.869,1.424,2.566,3.545,4.98,2.512,2.919
e1_orig,3B,4.242,3.131,1.949,2.879,3.929,4.949,2.919,3.226
e1_orig,7B,4.293,3.727,2.909,3.525,4.374,4.98,3.603,3.766
e7_orig,1.5B,4.35,2.94,1.68,2.57,3.5,0.01,2.583,3.008
e7_orig,3B,4.1,3.3,2.24,3.35,4.0,4.99,3.197,3.398
e7_orig,7B,4.15,3.74,2.87,3.73,4.34,4.99,3.647,3.766
e7_rag,1.5B,1.4,1.18,0.56,1.08,1.95,0.07,1.197,1.234
e7_rag,3B,3.75,2.91,1.72,2.71,3.92,4.97,2.783,3.002
e7_rag,7B,4.0,3.3,2.24,3.27,4.04,5.0,3.183,3.37
