method,size,decision_accuracy,safety_score,clinical_correctness,completeness,coherence
E1 WSFT,1.5B,4.192,2.869,1.424,2.566,3.545
E1 WSFT,3B,4.242,3.131,1.949,2.879,3.929
E1 WSFT,7B,4.293,3.727,2.909,3.525,4.374
E5b Expl Entropy,1.5B,4.15,2.97,1.48,2.6,3.62
E5b Expl Entropy,3B,4.3,3.28,2.07,3.0,3.92
E5b Expl Entropy,7B,4.35,3.72,2.75,3.57,4.31
E7 Dec Only,1.5B,4.35,2.94,1.68,2.57,3.5
E7 Dec Only,3B,4.1,3.3,2.24,3.35,4.0
E7 Dec Only,7B,4.15,3.74,2.87,3.73,4.34
M1 Linear (A1),1.5B,4.235,2.684,1.316,2.388,3.5
M1 Linear (A1),3B,4.337,2.98,1.786,2.765,3.714
M1 Linear (A1),7B,4.235,3.48,2.52,3.235,4.163
M2 Seq WDE,1.5B,4.05,2.67,1.19,2.47,3.57
M2 Seq WDE,3B,4.25,3.09,1.73,2.89,3.83
M2 Seq WDE,7B,4.25,3.51,2.38,3.33,4.21
M2 Seq WED,1.5B,4.05,2.66,1.35,2.57,3.67
M2 Seq WED,3B,4.1,3.07,1.79,2.85,3.91
M2 Seq WED,7B,4.3,3.69,2.76,3.47,4.36
M2 Seq EDW,1.5B,3.95,2.67,1.31,2.56,3.48
M2 Seq EDW,3B,4.15,2.95,1.75,2.87,3.82
M2 Seq EDW,7B,4.25,3.64,2.63,3.44,4.32
M2 Seq EWD,1.5B,4.1,2.78,1.45,2.52,3.67
M2 Seq EWD,3B,4.2,3.22,1.87,2.76,3.94
M2 Seq EWD,7B,4.25,3.65,2.69,3.37,4.42
M3 Juggler,1.5B,3.889,2.455,0.99,2.212,3.242
M3 Juggler,3B,4.04,3.03,1.566,2.576,3.737
M3 Juggler,7B,4.04,3.404,2.354,3.121,4.222
