family,method,size,decision_accuracy,safety_score,clinical_correctness,completeness,coherence,format_compliance,reasoning_mean,composite_5,n_samples,pct_of_teacher
E-series,E7 Dec Only,7B,4.15,3.74,2.87,3.73,4.34,4.99,3.6466666666666665,3.7660000000000005,100,96.1
E-series,E1 WSFT,7B,4.292929292929293,3.727272727272727,2.909090909090909,3.525252525252525,4.373737373737374,4.97979797979798,3.6026936026936025,3.765656565656566,99,96.1
E-series,E5b Expl Entropy,7B,4.35,3.72,2.75,3.57,4.31,5.0,3.543333333333333,3.7399999999999998,100,95.5
E-series,E3 CW-WSFT,7B,4.292929292929293,3.727272727272727,2.797979797979798,3.484848484848485,4.373737373737374,4.98989898989899,3.5521885521885523,3.7353535353535348,99,95.3
M2v2 Sequential,M2v2 WED,7B,4.292929292929293,3.696969696969697,2.7777777777777777,3.474747474747475,4.363636363636363,4.959595959595959,3.5387205387205385,3.721212121212121,99,95.0
E-series,E5a Dec Entropy,7B,4.191919191919192,3.707070707070707,2.7777777777777777,3.525252525252525,4.383838383838384,4.96969696969697,3.5622895622895623,3.7171717171717176,99,94.9
E-series,E4 Section CW-WSFT,7B,4.191919191919192,3.6464646464646466,2.7777777777777777,3.4646464646464645,4.343434343434343,4.98989898989899,3.528619528619528,3.6848484848484846,99,94.0
E-series,E2 CW-SFT,7B,4.3,3.64,2.69,3.49,4.28,4.95,3.486666666666667,3.6799999999999997,100,93.9
M2v2 Sequential,M2v2 EDW,7B,4.292929292929293,3.6464646464646466,2.6464646464646466,3.4545454545454546,4.3232323232323235,4.97979797979798,3.4747474747474754,3.6727272727272733,99,93.7
M2v2 Sequential,M2v2 EWD,7B,4.242424242424242,3.6464646464646466,2.686868686868687,3.3636363636363638,4.414141414141414,4.98989898989899,3.488215488215488,3.6707070707070706,99,93.7
